"Label","response"
"White","Active listening."
"White","Dental dams."
"White","Serfdom."
"White","Passing a kidney stone."
"White","Sniffing glue."
"White","Being marginalized."
"White","Hot Pockets®."
"White","The Amish."
"White","Riding off into the sunset."
"White","Battlefield amputations."
"White","Vigilante justice."
"White","The milk man."
"White","Darth Vader."
"White","Ghosts."
"White","Science."
"White","The penny whistle solo from ""My Heart Will Go On."""
"White","That thing that electrocutes your abs."
"White","Land mines."
"White","Capturing Newt Gingrich and forcing him to dance in a monkey suit."
"White","A Bop It™."
"White","One trillion dollars."
"White","Stormtroopers."
"White","The chronic."
"White","Making a pouty face."
"White","My inner demons."
"White","Ronald Reagan."
"White","A tiny horse."
"White","Laying an egg."
"White","Lady Gaga."
"White","Bill Nye the Science Guy."
"White","Doing the right thing."
"White","A gassy antelope."
"White","A mopey zoo lion."
"White","Aaron Burr."
"White","A subscription to Men's Fitness."
"White","Switching to Geico®."
"White","Altar boys."
"White","Silence."
"White","A disappointing birthday party."
"White","BATMAN!!!"
"White","The folly of man."
"White","Her Majesty, Queen Elizabeth II."
"White","John Wilkes Booth."
"White","Bling."
"White","The Boy Scouts of America."
"White","The Make-A-Wish® Foundation."
"White","Soup that is too hot."
"White","Geese."
"White","Justin Bieber."
"White","The heart of a child."
"White","A murder most foul."
"White","Self-loathing."
"White","The invisible hand."
"White","Christopher Walken."
"White","Destroying the evidence."
"White","Flightless birds."
"White","Exactly what you'd expect."
"White","Lockjaw."
"White","Scrubbing under the folds."
"White","Sweet, sweet vengeance."
"White","Horrifying laser hair removal accidents."
"White","Friction."
"White","A bag of magic beans."
"White","The Hamburglar."
"White","Amputees."
"White","White privilege."
"White","Grave robbing."
"White","All-you-can-eat shrimp for $4.99."
"White","An Oedipus complex."
"White","The Tempur-Pedic® Swedish Sleep System™."
"White","Domino's™ Oreo™ Dessert Pizza."
"White","A hot mess."
"White","Chainsaws for hands."
"White","The glass ceiling."
"White","A lifetime of sadness."
"White","A death ray."
"White","The Great Depression."
"White","Teaching a robot to love."
"White","Getting really high."
"White","Raptor attacks."
"White","An ugly face."
"White","Shaquille O'Neal's acting career."
"White","Explosions."
"White","Being on fire."
"White","A brain tumor."
"White","The taint; the grundle; the fleshy fun-bridge."
"White","Oompa-Loompas."
"White","Natural selection."
"White","Men."
"White","GoGurt®."
"White","Five-Dollar Footlongs™."
"White","The Care Bear Stare."
"White","Attitude."
"White","Pulling out."
"White","Morgan Freeman's voice."
"White","Gandhi."
"White","The inevitable heat death of the universe."
"White","The Pope."
"White","Autocannibalism."
"White","The violation of our most basic human rights."
"White","Eating the last known bison."
"White","Heartwarming orphans."
"White","A really cool hat."
"White","Judge Judy."
"White","Count Chocula."
"White","Prancing."
"White","Passive-agression."
"White","The Big Bang."
"White","Stranger danger."
"White","The Übermensch."
"White","The Rapture."
"White","A live studio audience."
"White","A cooler full of organs."
"White","Scalping."
"White","Poor life choices."
"White","Horse meat."
"White","Scientology."
"White","Catapults."
"White","An uppercut."
"White","Flesh-eating bacteria."
"White","New Age music."
"White","My relationship status."
"White","Cuddling."
"White","Centaurs."
"White","Object permanence."
"White","A sea of troubles."
"White","Leaving an awkward voicemail."
"White","Genghis Khan."
"White","Cybernetic enhancements."
"White","Nickelback."
"White","Adderall™."
"White","Pabst Blue Ribbon."
"White","Overcompensation."
"White","Sharing needles."
"White","The token minority."
"White","Fear itself."
"White","A thermonuclear detonation."
"White","Nicolas Cage."
"White","The South."
"White","Old-people smell."
"White","Nazis."
"White","Child beauty pageants."
"White","A salty surprise."
"White","Racially-biased SAT questions."
"White","A good sniff."
"White","The Devil himself."
"White","A foul mouth."
"White","Puppies!"
"White","A zesty breakfast burrito."
"White","Hulk Hogan."
"White","Free samples."
"White","The American Dream."
"White","Pretending to care."
"White","Fancy Feast®."
"White","Tom Cruise."
"White","The Kool-Aid Man."
"White","William Shatner."
"White","Funky fresh rhymes."
"White","Friendly fire."
"White","The Force."
"White","Dry heaving."
"White","Natalie Portman."
"White","Getting drunk on mouthwash."
"White","An oversized lollipop."
"White","The Chinese gymnastics team."
"White","Grandma."
"White","Shiny objects."
"White","Classist undertones."
"White","Emotions."
"White","Vikings."
"White","A falcon with a cap on its head."
"White","Famine."
"White","Stalin."
"White","Crippling debt."
"White","A mime having a stroke."
"White","A bucket of fish heads."
"White","Dropping a chandelier on your enemies and riding the rope up."
"White","A time travel paradox."
"White","Sunshine and rainbows."
"White","Keanu Reeves."
"White","Britney Spears at 55."
"White","Actually taking candy from a baby."
"White","Sean Connery."
"White","A spastic nerd."
"White","Spontaneous human combustion."
"White","Swooping."
"White","The World of Warcraft."
"White","Public ridicule."
"White","A monkey smoking a cigar."
"White","Being rich."
"White","Hope."
"White","Cards Against Humanity."
"White","Finger painting."
"White","Children on leashes."
"White","A micropig wearing a tiny raincoat and booties."
"White","Tangled Slinkys."
"White","The Underground Railroad."
"White","Me time."
"White","The light of a billion suns."
"White","Tickling Sean Hannity, even after he tells you to stop."
"White","Vigorous jazz hands."
"White","Figgy pudding."
"White","The true meaning of Christmas."
"White","Crystal meth."
"White","World peace."
"White","Inappropriate yodeling."
"White","Republicans."
"White","Guys who don't call."
"White","Passive-aggressive Post-it notes."
"White","Bees?"
"White","The Dance of the Sugar Plum Fairy."
"White","The Little Engine That Could."
"White","Giving 110%."
"White","The Hustle."
"White","Take-backsies."
"White","A balanced breakfast."
"White","My soul."
"White","Yeast."
"White","Cheating in the Special Olympics."
"White","Breaking out into song and dance."
"White","Embryonic stem cells."
"White","Hot cheese."
"White","RoboCop."
"White","Women in yogurt commercials."
"White","Opposable thumbs."
"White","Goblins."
"White","An M. Night Shyamalan plot twist."
"White","Saxophone solos."
"White","Mr. Clean, right behind you."
"White","AXE Body Spray."
"White","Parting the Red Sea."
"White","Skeletor."
"White","Former President George W. Bush."
"White","Shapeshifters."
"White","Arnold Schwarzenegger."
"White","Being fabulous."
"White","Lunchables™."
"White","Robert Downey, Jr."
"White","Racism."
"White","Boogers."
"White","A pyramid of severed heads."
"White","Repression."
"White","Sean Penn."
"White","Agriculture."
"White","Unfathomable stupidity."
"White","Synergistic management solutions."
"White","Hurricane Katrina."
"White","Sarah Palin."
"White","A middle-aged man on roller skates."
"White","A wholly-owned nonprofit subsidiary of the Harvard Business School."
"White","Speaking at TechCrunch Disrupt."
"White","A 30-minute subscription to the New York Times."
"White","A lifetime subscription to the Economist."
"White","A Theranos IPO."
"White","Unsubscribing to an email newsletter."
"White","Micro-podcasts."
"White","A $1.2 billion fine for GDPR violations."
"White","Conducting an entire video meeting on mute."
"White","White collar crimes."
"White","A college admission bribery scandal."
"White","Attribution modeling."
"White","A 42% bounce rate."
"White","A 3% conversion rate."
"White","Cookies."
"White","Tableau."
"White","Spotify."
"White","Jira."
"White","Motivating employees."
"White","Adobe."
"White","Agile accounting practices."
"White","Subscribing to an email newsletter."
"White","Managing older workers."
"White","Personal rebranding."
"White","Statistical significance."
"White","Disruption."
"White","A shocking lack of demand."
"White","Teamwork."
"White","AR dashboards."
"White","A best-in-class goat video conferencing platform."
"White","The greatest retail expansion in the history of the world"
"White","Franchising."
"White","Profound implications."
"White","Artificial emotional intelligence."
"White","Emotional intelligence."
"White","Artificial intelligence."
"White","Pinching and scrolling."
"White","12 gigabytes of quarterly e-books."
"White","Lifetime customer value."
"White","Millennials."
"White","CarPlay-equipped radios for vintage Porsches."
"White","A fintech startup."
"White","The heir to the Hot Pockets fortune."
"White","Hundreds of thousands of pieces of misinformation related to COVID-19."
"White","A German research institute."
"White","Revamping the user interface."
"White","Elon Musk."
"White","A food delivery startup."
"White","Medical plans for pets."
"White","5G conspiracy theorists."
"White","Blockchain for Uber."
"White","Uber for blockchain."
"White","Clearing your cookies."
"White","Face to face interactions."
"White","Cubicles."
"White","Sparking joy."
